a,b
503.81,526.54
666.92,266.58
98.75,9.28
982.59,680.02
438.51,833.24
198.02,976.39
882.08,459.47
650.15,249.57
467.97,924.04
825.66,206.76
596.73,708.07
420.39,397.11
589.48,441.52
40.56,311.78
97.06,14.49
348.12,914.55
660.95,429.05
693.82,792.77
999.35,987.35
988.02,819.34
796.05,602.86
658.41,530.44
403.64,420.23
960.13,599.65
467.52,571.74
288.19,621.69
472.21,726.92
14.5,179.96
615.46,841.72
278.07,642.66
767.32,819.34
274.05,814.06
286.37,677.21
398.63,876.22
808.78,784.26
465.84,734.49
75.2,418.65
381.33,238.02
452.41,257.44
660.68,629.81
629.39,329.41
678.98,526.28
532.94,925.65
338.17,757.06
573.05,591.32
367.75,824.1
949.26,926.09
335.9,258.52
137.14,930.88
889.6,330.77
26.52,900.9
6.45,448.24
403.95,709.57
978.21,288.08
840.93,137.56
523.64,620.27
758.75,434.48
541.78,993.43
392.63,59.62
450.93,75.54
489.99,118.98
905.21,989.33
608.24,999.44
543.49,399.26
878.14,54.76
708.14,467.98
138.28,930.99
494.5,327.8
36.61,896.21
628.36,222.42
553.04,263.68
179.74,750.76
505.86,950.63
952.05,712.93
163.22,565.92
592.25,532.49
881.22,120.48
975.64,77.41
336.57,658.98
411.39,689.86
697.3,699.04
434.43,194.37
809.12,419.17
980.05,30.18
341.05,329.77
902.38,116.63
534.36,8.05
34.13,608.17
112,728
975.61,305.79
854.92,638.81
512.86,525.48
611,400.74
932.09,799.31
420.76,294.07
243.68,547.97
438.2,754.52
880.18,670.21
810.45,886.44
320.81,873.39
658.14,321.37
686.32,500.13
25.71,38.57
578.52,817.97
416.25,137.42
963.35,112.99
428.77,715.01
152.9,38.54
553.05,126.79
245.74,458.82
219.43,740.85
828.5,497.07
57.33,495.19
474.46,535.53
13.8,838.83
557.22,712.33
951.62,295.27
747.87,942.8
470.31,827.89
368.76,917.55
58.56,602.11
194,99
83.04,317.55
838.34,41.42
372.03,733.15
941.03,583.68
667.65,45.82
427.44,645.79
597.11,543.91
966.6,936.02
988.76,12.82
178.08,647.72
760.38,605.24
655.77,371.08
111.45,557.85
547.17,985.77
342.95,514.69
891.16,268.41
893.35,559.56
235.31,906.83
62.37,162.49
712.22,294.81
973.06,996.82
326.9,467.68
789.21,734.87
898.04,788.3
981.08,942.85
859.37,909.19
848.34,580.13
857.17,448.73
735.91,972.3
103.58,766.62
482.64,656.64
297.76,314.47
744.02,646.73
656.14,427.11
863.63,755.69
845.3,663.81
571.34,714.85
531.5,211.46
985.49,324.36
238.24,368.38
710.14,284.63
633.58,135.44
842.98,866.27
984.66,988.7
